index, stamp_sec, stamp_usec
0,1638428711,167821
1,1638428711,201595
2,1638428711,249397
3,1638428711,300055
4,1638428711,350255
5,1638428711,400982
6,1638428711,452320
7,1638428711,504479
8,1638428711,557784
9,1638428711,610971
10,1638428711,666531
11,1638428711,717827
12,1638428711,768960
13,1638428711,818361
14,1638428711,868295
15,1638428711,918037
16,1638428711,969008
17,1638428712,17772
18,1638428712,68829
19,1638428712,117638
20,1638428712,168420
21,1638428712,218006
22,1638428712,267932
23,1638428712,318782
24,1638428712,368093
25,1638428712,417569
26,1638428712,468605
27,1638428712,518032
28,1638428712,568998
29,1638428712,617124
30,1638428712,668098
31,1638428712,717971
32,1638428712,767561
33,1638428712,818768
34,1638428712,867733
35,1638428712,919779
36,1638428712,968195
37,1638428713,17557
38,1638428713,66998
39,1638428713,116729
40,1638428713,167484
41,1638428713,216129
42,1638428713,266825
43,1638428713,316714
44,1638428713,366053
45,1638428713,417059
46,1638428713,467838
47,1638428713,516354
48,1638428713,566941
49,1638428713,616835
50,1638428713,666493
51,1638428713,716530
52,1638428713,766559
53,1638428713,816117
54,1638428713,866289
55,1638428713,916602
56,1638428713,965982
57,1638428714,16316
58,1638428714,65706
59,1638428714,115553
60,1638428714,165777
61,1638428714,222708
62,1638428714,267111
63,1638428714,316271
64,1638428714,365245
65,1638428714,415989
66,1638428714,465840
67,1638428714,516055
68,1638428714,565509
69,1638428714,615735
70,1638428714,665391
71,1638428714,715369
72,1638428714,765351
73,1638428714,815434
74,1638428714,865651
75,1638428714,915626
76,1638428714,965587
77,1638428715,15358
78,1638428715,65470
79,1638428715,115559
80,1638428715,165421
81,1638428715,216279
82,1638428715,265358
83,1638428715,315652
84,1638428715,365269
85,1638428715,415198
86,1638428715,465132
87,1638428715,515645
88,1638428715,564905
89,1638428715,615751
90,1638428715,665278
91,1638428715,715653
92,1638428715,765624
93,1638428715,815506
94,1638428715,864194
95,1638428715,914598
96,1638428715,964639
97,1638428716,14783
98,1638428716,64321
99,1638428716,114640
100,1638428716,164692
101,1638428716,214655
102,1638428716,264597
103,1638428716,314539
104,1638428716,364598
105,1638428716,414784
106,1638428716,464462
107,1638428716,514779
108,1638428716,565902
109,1638428716,615515
110,1638428716,665451
111,1638428716,715443
112,1638428716,764461
113,1638428716,814299
114,1638428716,863898
115,1638428716,914530
116,1638428716,964399
117,1638428717,14968
118,1638428717,64136
119,1638428717,114322
120,1638428717,163993
121,1638428717,220855
122,1638428717,264596
123,1638428717,314121
124,1638428717,364099
125,1638428717,413903
126,1638428717,463790
127,1638428717,514159
128,1638428717,563980
129,1638428717,614657
130,1638428717,664370
131,1638428717,716662
132,1638428717,765116
133,1638428717,814975
134,1638428717,866168
135,1638428717,915403
136,1638428717,964761
137,1638428718,17184
138,1638428718,64964
139,1638428718,116758
140,1638428718,164316
141,1638428718,216347
142,1638428718,264544
143,1638428718,315898
144,1638428718,364466
145,1638428718,414322
146,1638428718,463752
147,1638428718,514341
